strategy,family,score,dev_sharpe,holdout_sharpe,dev_cagr,holdout_cagr,max_drawdown,calmar,psr,annual_turnover,top_name_share,stability,degradation,fails_pre_ai_rally,stressed_sharpe,cost_fragile,verdict
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.15,vol_window=21)",riskmanaged,6.236,0.89,2.57,0.1824,0.5931,-0.669,0.27,1.0,7.35,0.25,0.75,0.0,False,0.8413524537203483,False,inconclusive
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.25,vol_window=63)",riskmanaged,6.209,0.85,2.6,0.2429,0.9977,-0.842,0.29,1.0,4.82,0.27,0.62,0.0,False,0.8289375289397314,False,inconclusive
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.25,vol_window=21)",riskmanaged,6.19,0.85,2.61,0.2415,0.9994,-0.861,0.28,1.0,7.09,0.27,0.75,0.0,False,0.8187549269785673,False,inconclusive
BuyAndHold(ticker=NVDA),benchmark,6.182,0.4,2.88,0.1084,3.4374,-0.988,0.11,0.997,0.03,1.0,0.62,0.0,False,0.3996563605418927,False,benchmark
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.2,vol_window=21)",riskmanaged,6.142,0.88,2.57,0.2232,0.7994,-0.785,0.28,1.0,8.13,0.26,0.75,0.0,False,0.8414786751023007,False,inconclusive
"XSMomentumTopN(basket=target_holdings,lookback_days=126,rebalance=ME,skip_days=21,top_n=3,weighting=equal)",xsmom,6.115,0.77,2.74,0.2814,1.7847,-0.891,0.32,1.0,9.96,0.16,0.75,0.0,False,0.7240487121553965,False,inconclusive
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=ME,target_vol=0.25,vol_window=21)",riskmanaged,6.093,0.88,2.55,0.2529,0.9936,-0.836,0.3,1.0,5.7,0.26,0.62,0.0,False,0.852799796801577,False,inconclusive
"EqualWeightUniverse(basket=megacap_ai,rebalance=ME)",benchmark,6.075,0.69,2.53,0.2281,1.1505,-0.936,0.24,1.0,3.95,0.27,0.62,0.0,False,0.6764231011403845,False,benchmark
"QualityGrowth(rebalance=QE,top_n=5,w_accel=0.3,w_growth=0.4,w_margin=0.3)",fundamental,6.074,0.83,2.59,0.2999,1.6687,-0.935,0.32,1.0,7.5,0.1,0.75,0.0,False,0.8096533607214281,False,inconclusive
"TrendFollowCash(basket=megacap_ai,fallback=BIL,rebalance=W-FRI,sma_window=200)",tsmom,6.037,0.85,2.46,0.2199,0.9366,-0.625,0.35,1.0,7.6,0.29,0.62,0.0,False,0.8095470423711125,False,inconclusive
"ValuationAwareGrowth(history_days=756,max_ps_own_pct=1.0,rebalance=QE,top_n=8)",fundamental,6.015,0.85,2.49,0.3014,1.2389,-0.954,0.32,1.0,6.61,0.06,0.75,0.0,False,0.8277549480123244,False,inconclusive
"CapWeightUniverse(basket=megacap_ai,max_weight=0.25,rebalance=QE)",benchmark,6.011,0.54,2.51,0.1591,1.0653,-0.931,0.17,1.0,3.21,0.33,0.75,0.0,False,0.5262812633731812,False,benchmark
"InverseVolBasket(basket=megacap_ai,rebalance=ME)",riskmanaged,5.909,0.69,2.39,0.2268,0.9972,-0.931,0.24,1.0,4.39,0.32,0.75,0.0,False,0.6799049654965225,False,inconclusive
"BreadthGatedBasket(basket=megacap_ai,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.5)",factor,5.862,0.72,2.53,0.1964,1.1507,-0.766,0.26,1.0,5.71,0.26,0.75,0.0,False,0.6965951890473822,False,inconclusive
"ThemeRotation(lookback_days=252,rebalance=ME,top_themes=4)",factor,5.821,0.96,2.25,0.3189,0.8544,-0.686,0.46,1.0,7.56,0.09,0.62,0.0,False,0.9333372044725251,False,inconclusive
"QualityGrowth(rebalance=QE,top_n=8,w_accel=0.3,w_growth=0.4,w_margin=0.3)",fundamental,5.761,0.85,2.48,0.2937,1.2908,-0.92,0.32,1.0,7.24,0.06,0.62,0.0,False,0.8226488738122962,False,inconclusive
"XSMomentumTopN(basket=target_holdings,lookback_days=126,rebalance=ME,skip_days=21,top_n=5,weighting=equal)",xsmom,5.721,0.83,2.49,0.2929,1.2185,-0.873,0.34,1.0,9.29,0.17,0.75,0.0,False,0.7831485981184556,False,inconclusive
"XSRiskAdjMomentum(lookback_days=252,rebalance=ME,top_n=5)",xsmom,5.705,0.76,2.41,0.2694,1.2728,-0.923,0.29,1.0,11.65,0.07,0.75,0.0,False,0.7055690744171047,False,inconclusive
"TrendFollowCash(basket=target_holdings,fallback=IEF,rebalance=W-FRI,sma_window=200)",tsmom,5.691,0.85,2.33,0.2108,0.6775,-0.612,0.34,1.0,8.43,0.16,0.62,0.0,False,0.8022611945555416,False,inconclusive
"CapWeightUniverse(basket=target_holdings,max_weight=0.25,rebalance=QE)",benchmark,5.534,0.62,2.31,0.1987,0.9106,-0.941,0.21,1.0,3.97,0.27,0.62,0.0,False,0.609907058678796,False,benchmark
"XSMomentumTopN(basket=target_holdings,lookback_days=126,rebalance=ME,skip_days=21,top_n=8,weighting=equal)",xsmom,5.523,0.77,2.41,0.2669,1.0752,-0.877,0.3,1.0,8.78,0.19,0.75,0.0,False,0.7342168920777066,False,inconclusive
"XSMomentumTopN(basket=ai_broad,lookback_days=252,rebalance=ME,skip_days=21,top_n=10,weighting=equal)",xsmom,5.494,0.84,2.37,0.2882,1.115,-0.851,0.34,1.0,9.51,0.08,0.75,0.0,False,0.8052887266376617,False,inconclusive
"TrendPlusVolTarget(basket=target_holdings,fallback=IEF,hysteresis=0.02,min_exposure=0.2,rebalance=W-FRI,target_vol=0.2,trend_window=200,vol_window=63)",riskmanaged,5.472,0.98,2.17,0.22,0.636,-0.39,0.56,1.0,5.88,0.14,0.62,0.0,False,0.9397722779666624,False,inconclusive
BuyAndHold(ticker=GEV),benchmark,5.467,0.0,2.4,0.0291,1.6767,-0.203,0.14,1.0,0.03,1.0,1.0,0.0,False,0.0009457364978266308,False,benchmark
"VolTargetedBasket(basket=target_holdings,fallback=IEF,rebalance=W-FRI,target_vol=0.2,vol_window=63)",riskmanaged,5.441,0.94,2.17,0.2347,0.6359,-0.768,0.31,1.0,4.97,0.13,0.62,0.0,False,0.9127057649950641,False,inconclusive
"BetaHedgedBasket(basket=target_holdings,beta_window=252,hedge=QQQ,max_hedge=1.5,rebalance=W-FRI)",longshort,5.41,0.79,2.17,0.1847,0.3327,-0.407,0.45,1.0,8.48,-0.64,0.62,0.0,False,0.6994926924698965,False,inconclusive
"TrendFollowCash(basket=None,fallback=IEF,rebalance=W-FRI,sma_window=250)",tsmom,5.39,1.11,1.92,0.2399,0.5019,-0.543,0.44,1.0,5.54,0.05,0.62,0.0,False,1.0775665794443745,False,inconclusive
"EqualRiskContribution(basket=megacap_ai,cov_window=252,max_weight=0.25,rebalance=ME)",allocation,5.338,0.58,2.19,0.1723,0.8332,-0.924,0.19,1.0,3.35,0.31,0.75,0.0,False,0.5702004139444314,False,inconclusive
"AbsoluteMomentum(basket=None,fallback=BIL,lookback_days=252,rebalance=ME)",tsmom,5.327,0.93,2.06,0.311,0.7503,-0.758,0.41,1.0,6.15,0.06,0.62,0.0,False,0.9062270494097662,False,inconclusive
"ThemeRotation(lookback_days=252,rebalance=ME,top_themes=3)",factor,5.293,0.95,2.03,0.323,0.7672,-0.74,0.44,1.0,8.14,0.1,0.62,0.0,False,0.9158093218175747,False,inconclusive
"ThemeRotation(lookback_days=126,rebalance=ME,top_themes=4)",factor,5.256,0.96,1.95,0.3309,0.7247,-0.662,0.5,1.0,10.07,0.09,0.75,0.0,False,0.9337636982920257,False,inconclusive
BuyAndHold(ticker=CDNS),benchmark,5.256,0.37,2.37,0.1051,1.8059,-0.965,0.11,0.996,0.03,1.0,0.75,0.0,False,0.3713736994972212,False,benchmark
"EqualWeightUniverse(basket=target_holdings,rebalance=ME)",benchmark,5.246,0.71,2.12,0.2388,0.8094,-0.938,0.25,1.0,4.38,0.15,0.62,0.0,False,0.6974487868663278,False,benchmark
"BetaHedgedBasket(basket=target_holdings,beta_window=126,hedge=QQQ,max_hedge=1.5,rebalance=W-FRI)",longshort,5.224,0.78,2.16,0.1799,0.3327,-0.407,0.44,1.0,8.68,-0.7,0.5,0.0,False,0.6852671398657818,False,inconclusive
"ThemeRotation(lookback_days=126,rebalance=ME,top_themes=2)",factor,5.203,0.94,1.93,0.3416,0.6885,-0.671,0.51,1.0,10.83,0.08,0.75,0.0,False,0.892654672729346,False,inconclusive
"TrendFollowCash(basket=None,fallback=IEF,rebalance=W-FRI,sma_window=200)",tsmom,5.183,1.08,1.87,0.2359,0.4779,-0.574,0.41,1.0,6.22,0.05,0.62,0.0,False,1.0443696907609508,False,inconclusive
"MultiHorizonMomentum(basket=None,horizons=63,126,252,min_agree=3,rebalance=ME,top_n=12,weighting=equal)",factor,5.152,0.95,2.2,0.3214,0.9513,-0.834,0.39,1.0,13.01,0.06,0.62,0.0,False,0.8914533107923164,False,inconclusive
"MultiHorizonMomentum(basket=None,horizons=63,126,252,min_agree=3,rebalance=ME,top_n=8,weighting=equal)",factor,5.109,0.91,2.21,0.3163,0.993,-0.853,0.37,1.0,13.51,0.06,0.62,0.0,False,0.8422999406728522,False,inconclusive
"EqualRiskContribution(basket=megacap_ai,cov_window=126,max_weight=0.25,rebalance=ME)",allocation,5.1,0.58,2.09,0.1731,0.7893,-0.924,0.19,1.0,3.77,0.31,0.75,0.0,False,0.5697679405430718,False,inconclusive
"TrendFollowCash(basket=None,fallback=IEF,rebalance=W-FRI,sma_window=150)",tsmom,5.097,1.04,1.89,0.2284,0.4766,-0.614,0.37,1.0,7.25,0.05,0.62,0.0,False,0.9965681396179727,False,inconclusive
"DispersionTimedSelection(basket=None,disp_pct=0.6,disp_window=63,lookback_days=126,rebalance=ME,top_n=8)",factor,5.086,0.71,2.37,0.2329,1.1071,-0.952,0.24,1.0,10.28,0.05,0.62,0.0,False,0.6736971228121065,False,inconclusive
"InverseVolBasket(basket=target_holdings,rebalance=ME)",riskmanaged,5.082,0.74,2.04,0.2421,0.7427,-0.938,0.26,1.0,4.84,0.2,0.62,0.0,False,0.7195936852718097,False,inconclusive
"BreadthGatedBasket(basket=ai_broad,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.4)",factor,5.074,1.04,1.87,0.285,0.66,-0.605,0.47,1.0,3.18,0.04,0.62,0.0,False,1.023064576586582,False,rejected
"TrendFollowCash(basket=ai_broad,fallback=IEF,rebalance=W-FRI,sma_window=200)",tsmom,5.064,0.99,1.86,0.2164,0.4778,-0.545,0.4,1.0,6.65,0.05,0.62,0.0,False,0.9461326595330015,False,rejected
"ThemeRotation(lookback_days=126,rebalance=ME,top_themes=3)",factor,5.01,0.93,1.83,0.3267,0.643,-0.652,0.5,1.0,10.91,0.1,0.75,0.0,False,0.9009993764468526,False,rejected
SimpleMomentum12_1(top_n=5),benchmark,4.998,0.78,2.12,0.2872,1.0696,-0.954,0.3,1.0,11.91,0.11,0.62,0.0,False,0.7330993615151332,False,benchmark
"XSMomentumTopN(basket=None,lookback_days=252,rebalance=ME,skip_days=21,top_n=8,weighting=equal)",xsmom,4.995,0.92,2.17,0.3376,0.9798,-0.923,0.37,1.0,10.26,0.08,0.62,0.0,False,0.8828757939558999,False,rejected
"XSMomentumTopN(basket=ai_broad,lookback_days=252,rebalance=ME,skip_days=21,top_n=20,weighting=equal)",xsmom,4.989,0.84,2.06,0.2768,0.8348,-0.85,0.33,1.0,7.51,0.06,0.75,0.0,False,0.8098796468213865,False,rejected
"EqualWeightUniverse(basket=ai_compute,rebalance=ME)",benchmark,4.976,0.56,1.99,0.2038,0.995,-0.976,0.21,1.0,4.07,0.28,0.75,0.0,False,0.546754847198713,False,benchmark
"MultiHorizonMomentum(basket=None,horizons=63,126,252,min_agree=3,rebalance=ME,top_n=5,weighting=equal)",factor,4.974,0.87,2.16,0.3132,1.0189,-0.863,0.36,1.0,13.83,0.07,0.62,0.0,False,0.8127581393804357,False,rejected
"EqualWeightUniverse(basket=ai_broad,rebalance=ME)",benchmark,4.936,0.75,1.88,0.2349,0.6613,-0.924,0.25,1.0,2.23,0.04,0.62,0.0,False,0.7373760871881223,False,benchmark
"EqualWeightUniverse(basket=ai_broad,rebalance=QE)",benchmark,4.927,0.74,1.87,0.2346,0.6595,-0.925,0.25,1.0,2.21,0.04,0.62,0.0,False,0.7366959543781098,False,benchmark
"EqualWeightUniverse(basket=None,rebalance=ME)",benchmark,4.914,0.72,1.88,0.229,0.6635,-0.961,0.24,1.0,1.86,0.03,0.62,0.0,False,0.7163624447342885,False,benchmark
"InverseVolBasket(basket=semiconductors,rebalance=ME)",riskmanaged,4.891,0.75,1.92,0.2586,0.7772,-0.956,0.27,1.0,4.74,0.09,0.62,0.0,False,0.7321081696293698,False,rejected
"PostEarningsDrift(basket=None,hold_days=42,rebalance=W-FRI,top_n=10)",quality,4.872,0.73,2.12,0.23,0.7592,-0.896,0.26,1.0,26.52,0.06,0.62,0.0,False,0.6019121167055922,False,rejected
BuyAndHold(ticker=QCOM),benchmark,4.857,0.36,2.17,0.0907,1.6615,-0.981,0.09,0.994,0.03,1.0,0.75,0.0,False,0.35881346734435593,False,benchmark
"AbsoluteMomentum(basket=None,fallback=BIL,lookback_days=126,rebalance=ME)",tsmom,4.855,0.74,2.08,0.2404,0.7597,-0.947,0.25,1.0,8.33,0.04,0.62,0.0,False,0.7029989449134867,False,rejected
"InverseVolBasket(basket=ai_broad,rebalance=ME)",riskmanaged,4.849,0.75,1.85,0.2311,0.6311,-0.92,0.25,1.0,2.89,0.04,0.62,0.0,False,0.736382966234509,False,rejected
"RegimeSwitchedTech(cut=0.25,fallback=IEF,flags=('qqq_below_200', 'vix_high', 'rates_rising', 'breadth_weak'),rebalance=W-FRI)",regime,4.842,0.92,1.79,0.2087,0.5607,-0.6,0.35,1.0,6.02,0.03,0.62,0.0,False,0.8869332641568539,False,rejected
"DispersionTimedSelection(basket=None,disp_pct=0.5,disp_window=63,lookback_days=126,rebalance=ME,top_n=8)",factor,4.806,0.72,2.21,0.2393,1.0225,-0.948,0.25,1.0,11.6,0.05,0.62,0.0,False,0.6777319004584812,False,rejected
"XSMomentumTopN(basket=None,lookback_days=252,rebalance=ME,skip_days=21,top_n=3,weighting=equal)",xsmom,4.792,0.7,2.14,0.267,1.3784,-0.942,0.28,1.0,12.36,0.13,0.75,0.0,False,0.6568106069300256,False,rejected
"RegimeSwitchedTech(cut=0.2,fallback=IEF,flags=('qqq_below_200', 'vix_high', 'rates_rising', 'breadth_weak'),rebalance=W-FRI)",regime,4.786,0.88,1.82,0.2151,0.5818,-0.743,0.29,1.0,5.17,0.03,0.62,0.0,False,0.8553401041008719,False,rejected
"ResidualMomentum(basket=None,bench=QQQ,beta_window=252,lookback_days=252,rebalance=ME,skip_days=21,top_n=12)",factor,4.785,0.44,2.31,0.1208,0.9649,-0.864,0.14,0.999,6.98,0.09,0.62,0.0,False,0.40857215926604235,False,rejected
"RegimeSwitchedTech(cut=0.34,fallback=IEF,flags=('qqq_below_200', 'vix_high', 'rates_rising', 'breadth_weak'),rebalance=W-FRI)",regime,4.783,0.95,1.75,0.1913,0.5264,-0.545,0.35,1.0,7.19,0.05,0.62,0.0,False,0.8976646209719776,False,rejected
BuyAndHold(ticker=PLTR),benchmark,4.75,0.34,2.11,0.0874,2.3891,-0.849,0.1,0.996,0.03,1.0,0.88,0.0,False,0.3401342535849048,False,benchmark
BuyAndHold(ticker=MSFT),benchmark,4.736,0.56,2.05,0.1821,0.9401,-0.907,0.2,1.0,0.03,1.0,0.62,0.0,False,0.554939983237906,False,benchmark
"XSMomentumTopN(basket=None,lookback_days=126,rebalance=ME,skip_days=21,top_n=8,weighting=equal)",xsmom,4.725,0.8,2.11,0.2858,0.9898,-0.943,0.3,1.0,14.29,0.06,0.62,0.0,False,0.7456969858456265,False,rejected
"BreadthGatedBasket(basket=ai_broad,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.5)",factor,4.72,0.83,1.87,0.2053,0.6596,-0.763,0.27,1.0,4.54,0.04,0.75,0.0,False,0.8024812136942342,False,rejected
BuyAndHold(ticker=SOXX),benchmark,4.718,0.39,2.08,0.1011,0.6664,-0.722,0.14,0.999,0.03,1.0,0.62,0.0,False,0.3899944626191233,False,benchmark
"XSMomentumTopN(basket=None,lookback_days=252,rebalance=ME,skip_days=21,top_n=5,weighting=equal)",xsmom,4.717,0.8,2.1,0.2993,1.0415,-0.929,0.32,1.0,11.39,0.1,0.62,0.0,False,0.7683064199169143,False,rejected
"ResidualMomentum(basket=None,bench=QQQ,beta_window=252,lookback_days=252,rebalance=ME,skip_days=21,top_n=8)",factor,4.684,0.44,2.22,0.1253,1.0105,-0.865,0.14,0.999,8.15,0.1,0.75,0.0,False,0.4139717915094337,False,rejected
BuyAndHold(ticker=AVGO),benchmark,4.667,0.46,1.87,0.132,1.232,-0.668,0.2,1.0,0.03,1.0,1.0,0.0,False,0.45873902679268175,False,benchmark
"TrendFollowCash(basket=None,fallback=IEF,rebalance=W-FRI,sma_window=100)",tsmom,4.654,0.98,1.76,0.213,0.429,-0.604,0.35,1.0,8.76,0.05,0.62,0.0,False,0.9226090126786387,False,rejected
"LowVolatilityTech(basket=None,rebalance=ME,top_n=20,trend_filter=True,vol_window=126)",factor,4.614,0.81,1.96,0.2531,0.6067,-0.866,0.29,1.0,8.99,0.06,0.62,0.0,False,0.7713823432039975,False,rejected
"ResearchIntensity(basket=None,rebalance=QE,require_profitable=False,top_n=15)",quality,4.585,0.71,1.9,0.2206,0.7185,-0.951,0.23,1.0,5.86,0.05,0.62,0.0,False,0.6880794670661351,False,rejected
"ResearchIntensity(basket=None,rebalance=QE,require_profitable=True,top_n=15)",quality,4.585,0.71,1.9,0.2206,0.7185,-0.951,0.23,1.0,5.86,0.05,0.62,0.0,False,0.6880794670661351,False,rejected
BuyAndHold(ticker=META),benchmark,4.572,0.28,2.03,0.0709,1.765,-0.742,0.1,0.988,0.03,1.0,0.88,0.0,False,0.2751140335692781,False,benchmark
"MultiHorizonMomentum(basket=None,horizons=63,126,252,min_agree=2,rebalance=ME,top_n=8,weighting=equal)",factor,4.54,0.76,2.06,0.268,0.971,-0.969,0.28,1.0,14.13,0.07,0.62,0.0,False,0.7159679683008925,False,rejected
"CapWeightUniverse(basket=ai_broad,max_weight=0.25,rebalance=QE)",benchmark,4.533,0.73,1.72,0.2449,0.6542,-0.928,0.26,1.0,3.69,0.22,0.62,0.0,False,0.7172951061473275,False,benchmark
"ValuationAwareGrowth(history_days=756,max_ps_own_pct=0.85,rebalance=QE,top_n=8)",fundamental,4.516,0.78,1.79,0.2682,0.7711,-0.949,0.28,1.0,7.05,0.08,0.75,0.0,False,0.755599980069974,False,rejected
"ResidualMomentum(basket=None,bench=QQQ,beta_window=252,lookback_days=126,rebalance=ME,skip_days=21,top_n=12)",factor,4.496,0.42,2.25,0.1174,0.9501,-0.892,0.13,0.999,9.16,0.07,0.62,0.0,False,0.38772138660908034,False,rejected
"VolCompressionBreakout(entry_window=40,exit_window=20,max_positions=6,squeeze_pct=0.2)",breakout,4.495,0.63,1.98,0.2021,0.7682,-0.91,0.22,1.0,115.03,0.11,0.62,0.0,False,0.2404767475060032,False,rejected
"XSMomentumTopN(basket=ai_broad,lookback_days=126,rebalance=ME,skip_days=21,top_n=10,weighting=equal)",xsmom,4.489,0.73,2.09,0.243,0.9634,-0.887,0.27,1.0,12.42,0.09,0.5,0.0,False,0.6884800636066964,False,rejected
"PostEarningsDrift(basket=None,hold_days=63,rebalance=W-FRI,top_n=10)",quality,4.485,0.91,1.81,0.3148,0.7339,-0.885,0.36,1.0,13.04,0.06,0.62,0.0,False,0.8542500374597337,False,rejected
"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=10)",longshort,4.479,0.42,1.98,0.0707,0.2942,-0.417,0.17,1.0,10.94,0.17,0.75,0.0,False,0.25847510300158516,False,rejected
"ThemeRotation(lookback_days=252,rebalance=ME,top_themes=2)",factor,4.478,0.86,1.71,0.3025,0.6465,-0.752,0.4,1.0,9.54,0.14,0.62,0.0,False,0.8308450961356655,False,rejected
"SemisLeadership(fallback=IEF,lookback_days=126)",regime,4.465,0.42,1.93,0.0932,0.5961,-0.705,0.13,1.0,3.67,0.76,0.62,0.0,False,0.4004123734672784,False,rejected
"FundamentalAcceleration(basket=None,rebalance=QE,require_positive_growth=True,top_n=12)",factor,4.462,0.86,1.74,0.2898,0.6976,-0.865,0.33,1.0,7.23,0.05,0.62,0.0,False,0.8299030124413027,False,rejected
